,Total:,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,Male:,,,,,,,,,,,,,,,,,,Female:,,,,,,,,,,,,,,,,,
,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,,,Science and Engineering,,,,,,,,Science and Engineering Related Fields,Business,Education,"Arts, Humanities, and Other",,,,,
Label,,,,,,,,,,,,,,,,,,,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other,,,"Computers, Mathematics, and Statistics","Biological, Agricultural, and Environmental Sciences",Physical and Related Sciences,Psychology,Social Sciences,Engineering,Multidisciplinary Studies,,,,,Literature and Languages,Liberal Arts and History,Visual and Performing Arts,Communications,Other
Margin of Error,±876,,"±6,200","±3,409","±13,054","±4,669","±7,089","±5,716","±7,817","±1,811","±4,036","±1,562",,"±6,394","±5,452","±4,378","±6,695","±3,014","±1,387",,"±9,244","±5,518","±14,364","±18,388","±8,999","±5,595","±48,676","±6,383","±4,711","±4,974",,"±7,553","±5,069","±8,026","±6,407","±6,154",±851,,"±9,321","±4,841","±10,548","±7,098","±7,857","±13,846","±5,873","±4,179","±4,573","±2,224",,"±8,047","±12,115","±3,695","±5,945","±5,382"
Kansas,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"66,166",,"91,399","65,147","74,796","55,816","67,112","103,939","64,375","74,395","77,272","52,028",,"55,029","60,641","57,125","60,254","58,431","81,057",,"99,150","78,487","90,736","72,319","76,180","106,505","82,016","90,062","86,939","61,919",,"57,393","70,373","65,749","71,535","71,272","56,411",,"80,977","55,247","56,453","51,596","52,246","92,765","48,823","69,036","65,699","50,586",,"46,914","48,655","46,096","54,058","51,947"
Margin of Error,±934,,"±9,893","±6,773","±8,620","±3,488","±6,375","±3,645","±23,063","±4,350","±3,853",±929,,"±3,524","±4,137","±5,048","±5,042","±4,354","±1,103",,"±7,037","±6,625","±15,091","±15,108","±13,361","±5,725","±6,597","±14,949","±4,980","±2,461",,"±6,402","±5,736","±6,268","±8,216","±5,387","±1,026",,"±7,225","±3,666","±11,774","±1,309","±4,429","±14,215","±9,616","±4,476","±4,572",±972,,"±6,289","±4,270","±9,504","±6,063","±2,477"
Kentucky,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"63,640",,"74,390","65,062","80,915","56,406","71,808","99,501","53,343","72,538","71,984","53,058",,"51,988","54,244","47,129","61,862","52,869","74,597",,"81,832","65,910","86,658","66,888","81,437","101,013","51,316","81,293","81,953","65,329",,"56,619","57,945","51,544","56,948","63,945","57,700",,"61,919","63,668","74,279","52,134","59,753","84,230","55,854","70,981","62,847","51,401",,"50,879","42,488","43,263","62,615","48,838"
Margin of Error,"±1,969",,"±8,198","±5,235","±11,166","±4,787","±4,729","±7,623","±11,608","±2,963","±1,943","±2,510",,"±4,608","±4,489","±5,302","±3,416","±3,734","±2,307",,"±11,639","±6,048","±13,192","±17,325","±8,562","±2,580","±19,334","±4,486","±4,425","±6,471",,"±8,856","±3,303","±12,363","±10,829","±5,809","±1,852",,"±7,269","±6,290","±9,657","±6,064","±6,532","±9,373","±14,934","±1,864","±4,621","±1,119",,"±5,735","±7,529","±5,234","±4,833","±3,930"
Louisiana,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Estimate,"61,903",,"70,379","76,407","90,817","55,979","74,060","98,397","50,925","71,470","66,045","50,273",,"58,910","56,201","46,523","59,358","55,908","77,353",,"71,246","81,595","100,718","62,759","90,829","102,128","53,406","87,723","75,879","62,127",,"64,464","66,492","47,227","62,165","75,858","54,721",,"67,599","63,943","61,902","52,955","59,619","79,602","42,342","67,778","55,432","49,046",,"52,347","46,767","45,373","56,682","43,633"
Margin of Error,±613,,"±9,378","±3,677","±18,189","±5,093","±6,571","±5,813","±11,332","±2,580","±4,614","±1,240",,"±6,934","±6,033","±5,045","±5,208","±2,303","±2,541",,"±10,596","±5,855","±9,180","±29,127","±9,492","±8,094","±20,624","±12,981","±2,809","±6,268",,"±11,250","±9,107","±7,786","±12,106","±7,460","±1,257",,"±13,920","±8,161","±27,769","±6,022","±7,399","±19,923","±11,455","±3,584","±3,311","±1,708",,"±9,952","±4,668","±7,984","±6,138","±4,205"
